filename,genre
[iSongs.info] 01 - Inkem Inkem Inkem Kaavaale - Copy.mp3,Melody
[iSongs.info] 01 - Manasu Maree.mp3,Melody
[iSongs.info] 01 - Nee Kannu Neeli Samudram.mp3,Melody
[iSongs.info] 01 - Pranam.mp3,Melody
[iSongs.info] 01 - Samajavaragamana.mp3,Melody
[iSongs.info] 02 - Priyathama Priyathama.mp3,Melody
[iSongs.info] 03 - Yenti Yenti.mp3,Melody
[iSongs.info] 01 - Adivo Alladivo.mp3,Devotional
[iSongs.info] 02 - Ayyapa Swamiki Vandnam.mp3,Devotional
[iSongs.info] 03 - Bhavamulona Bahya.mp3,Devotional
[iSongs.info] 04 - Chaka Chaka Kadalandi.mp3,Devotional
[iSongs.info] 05 - Govindadi Namocharan.mp3,Devotional
[iSongs.info] 06 - Itani Kante Ghanulu.mp3,Devotional
[iSongs.info] 07 - Japamalanu Medalo Vesi.mp3,Devotional
[iSongs.info] 02 - Nuvvunte Naa Jathagaa.mp3,Sad
[iSongs.info] 04 - Amma Amma.mp3,Sad
[iSongs.info] 04 - Cheppave Balamani.mp3,Sad
[iSongs.info] 05 - Yellipoke Shyamala.mp3,Sad
[iSongs.info] 06 - Adhey Nannu.mp3,Sad
[iSongs.info] 08 - Badulu Tochani (1).mp3,Sad
[iSongs.info] 08 - Undiporaadhey (Sad Version).mp3,Sad
[iSongs.info] 01 - Ammadu Lets Do Kummudu.mp3,Mass
[iSongs.info] 01 - Dimaak Kharaab.mp3,Mass
[iSongs.info] 01 - Mind Block.mp3,Mass
[iSongs.info] 04 - Blockbuster.mp3,Mass
[iSongs.info] 04 - ButtaBomma.mp3,Mass
[iSongs.info] 05 - Jigelu Rani.mp3,Mass
[iSongs.info] 06 - Pakka Local.mp3,Mass

